2023-08-17 00:39:11,969 INFO  [io.hawt.web.auth.LoginRedirectFilter] Hawtio loginRedirectFilter is using 1800 sec. HttpSession timeout
2023-08-17 00:39:12,173 INFO  [io.hawt.web.proxy.ProxyServlet] Proxy servlet is disabled
2023-08-17 00:39:12,207 INFO  [io.hawt.web.servlets.JolokiaConfiguredAgentServlet] Jolokia overridden property: [key=policyLocation, value=file:/var/lib/artemis-instance/./etc/jolokia-access.xml]
2023-08-17 00:39:13,276 INFO  [org.apache.activemq.artemis] AMQ241001: HTTP Server started at http://0.0.0.0:8161
2023-08-17 00:39:13,279 INFO  [org.apache.activemq.artemis] AMQ241002: Artemis Jolokia REST API available at http://0.0.0.0:8161/console/jolokia
2023-08-17 00:39:13,280 INFO  [org.apache.activemq.artemis] AMQ241004: Artemis Console available at http://0.0.0.0:8161/console
2023-08-17 00:42:06,928 WARN  [org.apache.activemq.artemis.core.server] AMQ222149: Sending message Reference[45904]:RELIABLE:CoreMessage[messageID=45904,durable=true,userID=e16e588e-3c96-11ee-8d08-0a002700000b,priority=4, timestamp=Thu Aug 17 00:42:01 UTC 2023,expiration=0, durable=true, address=simple.fail,size=349,properties=TypedProperties[__AMQ_CID=d46d2ec6-3c96-11ee-8d08-0a002700000b, _AMQ_ROUTING_TYPE=1]]@929613912 to Dead Letter Address DLA from simple.fail
2023-08-17 00:42:36,805 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session daeba0c7-3c96-11ee-8d08-0a002700000b
2023-08-17 00:42:36,807 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session daeba0c7-3c96-11ee-8d08-0a002700000b
2023-08-17 00:42:36,808 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session daf60108-3c96-11ee-8d08-0a002700000b
2023-08-17 00:42:36,809 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session daf60108-3c96-11ee-8d08-0a002700000b
2023-08-17 00:42:36,811 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session d46d2ec7-3c96-11ee-8d08-0a002700000b
2023-08-17 00:42:36,813 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session d46d2ec7-3c96-11ee-8d08-0a002700000b
2023-08-17 00:42:36,815 WARN  [org.apache.activemq.artemis.core.server] AMQ222061: Client connection failed, clearing up resources for session f5a9f064-3c96-11ee-8d08-0a002700000b
2023-08-17 00:42:36,816 WARN  [org.apache.activemq.artemis.core.server] AMQ222107: Cleared up resources for session f5a9f064-3c96-11ee-8d08-0a002700000b
2023-08-17 00:42:40,135 INFO  [org.apache.activemq.artemis] AMQ241005: Stopping embedded web server
2023-08-17 00:42:40,146 INFO  [io.hawt.HawtioContextListener] Destroying hawtio services
2023-08-17 00:42:40,612 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Destroyed artemis-plugin plugin
2023-08-17 00:42:41,033 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Destroyed activemq-branding plugin
2023-08-17 00:42:41,312 INFO  [org.apache.activemq.artemis] AMQ241006: Stopped embedded web server
2023-08-17 00:42:41,316 INFO  [org.apache.activemq.artemis.core.server] AMQ221002: Apache ActiveMQ Artemis Message Broker version 2.30.0 [7c95a8d8-3be0-11ee-829b-0242ac170002] stopped, uptime 3 minutes
2023-08-17 01:06:27,237 INFO  [org.apache.activemq.artemis.integration.bootstrap] AMQ101000: Starting ActiveMQ Artemis Server version 2.30.0
2023-08-17 01:06:27,810 INFO  [org.apache.activemq.artemis.core.server] AMQ221000: live Message Broker is starting with configuration Broker Configuration (clustered=false,journalDirectory=data/journal,bindingsDirectory=data/bindings,largeMessagesDirectory=data/large-messages,pagingDirectory=data/paging)
2023-08-17 01:06:28,214 INFO  [org.apache.activemq.artemis.core.server] AMQ221012: Using AIO Journal
2023-08-17 01:06:29,101 INFO  [org.apache.activemq.artemis.core.server] AMQ221057: Global Max Size is being adjusted to 1/2 of the JVM max size (-Xmx). being defined as 1073741824
2023-08-17 01:06:29,401 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-server]. Adding protocol support for: CORE
2023-08-17 01:06:29,404 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-amqp-protocol]. Adding protocol support for: AMQP
2023-08-17 01:06:29,405 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-hornetq-protocol]. Adding protocol support for: HORNETQ
2023-08-17 01:06:29,406 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-mqtt-protocol]. Adding protocol support for: MQTT
2023-08-17 01:06:29,407 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-openwire-protocol]. Adding protocol support for: OPENWIRE
